YEAR,QUARTER,ID,INDUSTRY,PRPGDP1,PRPGDP2,PRPGDP3,PRPGDP4,PRPGDP5,PRPGDP6,PRPGDP7,PRPGDP8,PRPGDP9,PRPGDP10,PRPGDP11,PRPGDP12,PRPGDP13,PRPGDP14,PRPGDP15,PRPGDP16,PRPGDP17,PRPGDP18,PRPGDP19,PRPGDP20
1968,4,38,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,39,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,40,,,,,,,,,,,,,,,,,,,,,
1968,4,41,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,42,,0.0,0.0,0.0,0.0,0.0,30.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,43,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,45,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,46,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,47,,0.0,0.0,0.0,0.0,5.0,80.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,48,,0.0,0.0,0.0,0.0,0.0,5.0,15.0,30.0,30.0,15.0,5.0,0.0,0.0,0.0,0.0,,,,,
1968,4,49,,0.0,0.0,1.0,0.0,2.0,10.0,37.0,37.0,10.0,2.0,0.0,0.0,1.0,0.0,0.0,,,,,
1968,4,50,,,,,,,,,,,,,,,,,,,,,
1968,4,51,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,52,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,53,,0.0,0.0,0.0,0.0,0.0,5.0,25.0,45.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,54,,0.0,0.0,0.0,0.0,0.0,2.0,20.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,55,,0.0,0.0,0.0,0.0,0.0,15.0,30.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,56,,0.0,0.0,0.0,0.0,0.0,0.0,75.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,57,,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,58,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,59,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,50.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,60,,0.0,0.0,0.0,0.0,0.0,5.0,15.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,61,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,62,,0.0,0.0,0.0,0.0,0.0,15.0,60.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,63,,0.0,0.0,0.0,0.0,0.0,10.0,20.0,40.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,64,,0.0,0.0,0.0,0.0,5.0,10.0,25.0,40.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,65,,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,66,,0.0,0.0,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,67,,0.0,0.0,0.0,0.0,15.0,20.0,30.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,68,,0.0,0.0,0.0,0.0,5.0,10.0,20.0,30.0,20.0,10.0,5.0,0.0,0.0,0.0,0.0,,,,,
1968,4,69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,70,,0.0,0.0,0.0,0.0,0.0,10.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,71,,0.0,0.0,0.0,0.0,0.0,15.0,40.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,72,,0.0,0.0,0.0,0.0,0.0,0.0,15.0,80.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,73,,0.0,0.0,0.0,15.0,50.0,25.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,74,,0.0,0.0,0.0,0.0,5.0,20.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,75,,1.0,1.0,1.0,2.0,3.0,10.0,20.0,30.0,20.0,10.0,2.0,0.0,0.0,0.0,0.0,,,,,
1968,4,76,,0.0,0.0,0.0,0.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,77,,5.0,6.0,7.0,8.0,9.0,10.0,12.0,14.0,11.0,8.0,4.0,2.0,1.0,1.0,2.0,,,,,
1968,4,78,,0.0,0.0,0.0,0.0,0.0,10.0,40.0,40.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,79,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,40.0,0.0,0.0,0.0,0.0,,,,,
1968,4,80,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,81,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,82,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,83,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,84,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,50.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,85,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,86,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,87,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,88,,0.0,0.0,0.0,0.0,5.0,5.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1968,4,89,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,2,,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,3,,,,,,,,,,,,,,,,,,,,,
1969,1,4,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,6,,0.0,0.0,0.0,5.0,5.0,10.0,15.0,20.0,25.0,15.0,5.0,0.0,0.0,0.0,0.0,,,,,
1969,1,7,,0.0,0.0,0.0,0.0,5.0,5.0,30.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,8,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,9,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,10,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,55.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,15,,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,18,,0.0,0.0,0.0,0.0,0.0,5.0,15.0,50.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,21,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,65.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,22,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,23,,0.0,0.0,0.0,0.0,0.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,26,,0.0,0.0,0.0,0.0,5.0,15.0,60.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,28,,2.0,4.0,9.0,11.0,14.0,18.0,13.0,12.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,,,,,
1969,1,29,,0.0,0.0,0.0,0.0,0.0,10.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,30,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,31,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,50.0,20.0,10.0,0.0,0.0,0.0,0.0,,,,,
1969,1,32,,0.0,0.0,0.0,0.0,0.0,20.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,37,,0.0,0.0,0.0,0.0,1.0,2.0,6.0,8.0,25.0,30.0,20.0,6.0,1.0,1.0,0.0,,,,,
1969,1,38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,50.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,39,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,40,,,,,,,,,,,,,,,,,,,,,
1969,1,41,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,42,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,43,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,85.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,44,,,,,,,,,,,,,,,,,,,,,
1969,1,46,,0.0,0.0,0.0,0.0,0.0,0.0,20.0,75.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,48,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,40.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,49,,0.0,0.0,0.0,0.0,2.0,11.0,21.0,43.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,50,,0.0,0.0,0.0,5.0,5.0,15.0,25.0,30.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,51,,0.0,0.0,0.0,0.0,0.0,0.0,8.0,85.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,52,,0.0,0.0,0.0,0.0,0.0,10.0,30.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,53,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,25.0,45.0,20.0,5.0,0.0,0.0,0.0,0.0,,,,,
1969,1,54,,0.0,0.0,0.0,2.0,7.0,15.0,30.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,57,,0.0,0.0,0.0,0.0,0.0,5.0,40.0,50.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,58,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,59,,0.0,0.0,0.0,0.0,0.0,5.0,20.0,50.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,60,,0.0,0.0,0.0,0.0,0.0,10.0,20.0,50.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,61,,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,62,,,,,,,,,,,,,,,,,,,,,
1969,1,64,,0.0,0.0,0.0,0.0,5.0,15.0,20.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,65,,0.0,0.0,0.0,0.0,0.0,0.0,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,66,,0.0,0.0,0.0,0.0,0.0,2.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,67,,0.0,0.0,0.0,1.0,15.0,19.0,30.0,19.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,69,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,,,,,
1969,1,70,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
